Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo municipioINE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;Nº Registro;Entidad Titular;Entidad Gestora;Naturaleza;email;Web;Sector;Tipo;Subtipo;Plazas;Latitud;Longitud;Director;Posicion
CENTRO DE DÍA PARA PERSONAS MAYORES DE CISTIERNA;2020-12-04;PLAZA ESPAÑA 10;24;24056;LEON;CISTIERNA;24800;CISTIERNA;987 701225;;240066;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.7900698;-5.1093139;AQUILINO CASTRO URDIALES;42.7900698, -5.1093139
"TALLER OCUPACIONAL ""REDIMORA""";2025-11-03;TRAVESÍA FRAY GERUNDIO DE CAMPAZAS S/N;24;24056;LEON;CISTIERNA;24800;CISTIERNA;987 701027;;240147;AYUNTAMIENTO DE CISTIERNA;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);ADMINISTRACIÓN LOCAL;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 20;42.8044747;-5.1272941;MARÍA MORENO FERNÁNDEZ;42.8044747, -5.1272941
RESIDENCIA EL CARMEN;2026-03-13;AVENIDA ROBLA (LA) 61;24;24061;LEON;LORENZANA;24122;ZONA I - SAN ANDRÉS DEL RABANEDO;987 577033;;241175;FERMA EL CARMEN, S.L.;;SOCIEDADES;residenciaelcarmenlorenzana@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 44;;;MARIA ÁNGELES MORÁN SASTRE;
RESIDENCIA PERSONAS MAYORES DE LORENZANA;2023-03-10;CARRETERA CABOALLES 91;24;24061;LEON;LORENZANA;24122;LA MAGDALENA;987 580023;;240082;GRUPO RESIDENCIAS LORENZANA S.L.;;SOCIEDADES;info@residenciaslorenzana.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 44;42.6706943;-5.6356703;ANA PATRICIA FÉRNANDEZ PÉREZ;42.6706943, -5.6356703
RESIDENCIA RIO SIL;2025-05-27;CALLE CASCALLARES (LOS) 4;24;24064;LEON;CUBILLOS DEL SIL;24492;TORENO;987 411258;;241864;ARISOLIS AMBIENTAL S.L.;;SOCIEDADES;admon@lasencinassg.com;;PERSONAS MAYORES;Residencia;Para asistidos;DEPENDIENTES: 138;42.6205899619048;-6.57773862400543;MARIA MONTSERRAT GONZÁLEZ FERNÁNDEZ;42.6205899619048, -6.57773862400543
RESIDENCIA PERSONAS MAYORES EDAD DE ORO;2024-04-08;CALLE SAN JUAN S/N.;24;24065;LEON;VILLAR DE MAZARIFE;24392;LEÓN II - VALVERDE DE LA VIRGEN;987 306048;;240032;EDAD DE ORO, S.L.;;SOCIEDADES;direccion@edaddeoro.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 103;;;RAQUEL PEREZ GARCIA;
RESIDENCIA GERIATRICA SAN BLAS;2026-01-27;CALLE ANCARES (LOS) 1;24;24070;LEON;FABERO;24420;FABERO;987 550977;;240206;AYUNTAMIENTO DE FABERO;GERIÁTRICO SAN  BLAS S.L.;ADMINISTRACIÓN LOCAL;contacto@geriatricosanblas.es;www.geriatricosanblas.es;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 76;;;MARINA TEJERA LAMELAS;
HOGAR DE PERSONAS MAYORES DE FRESNO DE LA VEGA;2020-10-14;PLAZA IGLESIA (LA) S/N;24;24073;LEON;FRESNO DE LA VEGA;24223;VALENCIA DE DON JUAN;987 770145;;240044;ASOCIACION HOGAR DE TERCERA EDAD DE FRESNO DE LA VEGA;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.3453281;-5.5338796;POMPEYO FERNANDEZ FERNANDEZ;42.3453281, -5.5338796
RESIDENCIA DE PERSONAS MAYORES DE LEÓN;2025-10-17;AVENIDA PORTUGAL 10;24;24089;LEON;LEON;24009;LEÓN - ARMUNIA;987 202011;;240070;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Residencia;Para asistidos;DEPENDIENTES: 161;42.584865726994785;-5.584004183901155;PURIFICACIÓN DOMINGUEZ ALVAREZ;42.584865726994785, -5.584004183901155
CASA ACOGIDA LEONESA DE CARIDAD;2023-09-27;S/C;24;24089;LEON;LEON;24000;ZDESCONOCIDO;;;240031;ASOCIACIÓN LEONESA DE CARIDAD;;ASOCIACIÓN;;;MUJER;Vivienda;Casa de acogida mujeres maltratadas;OTROS: 13;;;;
RESIDENCIA DE PERSONAS MAYORES SANTA LUISA;2022-10-25;AVENIDA ASTURIAS REGIMIENTO ALMANSA S/N;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 226850;;240177;DIPUTACIÓN PROVINCIAL DE LEÓN;;ADMINISTRACIÓN LOCAL;direccion.santaluisa@dipuleon.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 94;42.5998764;-5.571752;FRANCISCO BLANCO BARREDO;42.5998764, -5.571752
CENTRO DE DÍA LA LUZ;2026-03-14;CARRETERA CARBAJAL 2084;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 875194;987 987875194;240146;ASOCIACIÓN LEONESA DE ATENCIÓN A PERSONAS AFECTADAS DE PARÁLISIS CEREBRAL (ASPACE-LEÓN);;ASOCIACIÓN;ayl@aspaceleon.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 56;42.60897196150055;-5.580605289607479;CRISTINA GARCIA GONZÁLEZ;42.60897196150055, -5.580605289607479
"CENTRO OCUPACIONAL "" SAN LORENZO""";2025-11-14;PLAZA SAN LORENZO Nº 11;24;24089;LEON;LEON;24008;LEÓN - SAN MAMÉS;987 179220;;240967;ASOCIACIÓN LEONESA DE ATENCIÓN A PERSONAS AFECTADAS DE PARÁLISIS CEREBRAL (ASPACE-LEÓN);;ASOCIACIÓN;sfidalgo@aspaceleon.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 10;42.6019604;-5.5651476;Susana Fidalgo Bajo;42.6019604, -5.5651476
RESIDENCIA SAN FROILAN;2026-02-14;CARRETERA CARBAJAL S/N;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 875194;;240153;ASOCIACIÓN LEONESA DE ATENCIÓN A PERSONAS AFECTADAS DE PARÁLISIS CEREBRAL (ASPACE-LEÓN);;ASOCIACIÓN;residencias@aspaceleon.org;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 36;;;Carmen Fernández-Reinante Salvatierra;
CENTRO DE DÍA CHAKIS;2026-02-14;CALLE PABLO IGLESIAS 6;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 246644;;240501;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;sanbenitomenni@hotmail.com;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 30;42.61234074498565;-5.589646161510231;DARIA GARCIA CAMPOS;42.61234074498565, -5.589646161510231
PISO FERNANDEZ PEÑA;2026-02-14;CALLE ANTONIO VAZQUEZ 17-1º A;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 246644;;240935;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 7;42.58672019999999;-5.5623489;JORGE GARCÍA MARTÍNEZ;42.58672019999999, -5.5623489
PISO 2 PUERTA LA LASTRA;2026-02-14;AVENIDA JOSE AGUADO 25 - 1ºB;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 246607;;240834;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 8;42.59046569195541;-5.5652642860907084;JORGE GARCÍA MARTÍNEZ;42.59046569195541, -5.5652642860907084
VIVIENDA HUERTA LOZANO;2025-02-27;CALLE PERIODISTA LAMPARILLA 2;24;24089;LEON;LEON;24009;LEÓN - ARMUNIA;987 246644;;241842;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;jorgegm@asprona-leon.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 6;42.5814404;-5.5858804;JORGE GARCÍA MARTÍNEZ;42.5814404, -5.5858804
CENTRO DE DÍA MULTIACTIVIDAD FORMAS;2024-12-27;CALLE CABRERA 4;24;24089;LEON;LEON;24010;LEÓN - EL CRUCERO-LA VEGA;987 246644;987 661697603;241966;ASOCIACIÓN PROTECTORA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASPRONA-LEÓN);;ASOCIACIÓN;GERENCIA@ASPRONA-LEON.ES;;PERSONAS CON DISCAPACIDAD;Centro de día;Centro de día multiactividad/ personas con discapacidad por transtorno del desarrollo intelectual;DISCAPACIDAD INTELECTUAL: 30;42.6040332;-5.587761;;42.6040332, -5.587761
RESIDENCIA PERSONAS MAYORES VIRGEN DEL CAMINO;2025-02-28;AVENIDA SAN MAMES 8;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;987 225582;;240182;AYUNTAMIENTO DE LEÓN;;ADMINISTRACIÓN LOCAL;paz.bravo@aytoleon.es;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;ASISTIDOS: 42, VÁLIDOS: 39;42.6042498;-5.569900899999999;MARIA PAZ BRAVO GONZÁLEZ;42.6042498, -5.569900899999999
CENTRO DE MAYORES PUENTE CASTRO-UNIDAD DE ATENCIÓN SOCIAL;2023-03-03;CALLE FLECHA (LA) S/N;24;24089;LEON;LEON;24071;LEÓN - PUENTE CASTRO;;;241192;AYUNTAMIENTO DE LEÓN;;ADMINISTRACIÓN LOCAL;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.5780745;-5.5586441;JOSE LUIS RUBIO;42.5780745, -5.5586441
VIVIENDA SUPERVISADA - C/ MONASTERIO;2024-12-14;CALLE MONASTERIO 4 4ºB;24;24089;LEON;LEON;24004;LEÓN - CENTRO;987 210126;987 006061;240874;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;gerencia@alfaem.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.59255;-5.572979999999999;CARLOS MOUTA FERNANDEZ;42.59255, -5.572979999999999
CENTRO RESIDENCIAL ALFAEM PARA PERSONAS CON ENFERMEDAD MENTAL;2024-10-15;CALLE CARDENAL TORQUEMADA Nº 20;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 228996;;241357;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;fundacion@alfaem.org;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por enfermedad mental;OTROS: 44;42.6114387;-5.574621200000001;VANESA GRANJA HERRERA;42.6114387, -5.574621200000001
VIVIENDA SUPERVISADA RAMOS;2024-12-14;CALLE MARCELINO ELOSUA Nº 13 1º C;24;24089;LEON;LEON;24007;LEÓN - MARIANO ANDRÉS;987 210126;;241475;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;gerencia@alfaem.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 4;42.60828;-5.58313;CARLOS MOUTA FERNANDEZ;42.60828, -5.58313
VIVIENDA SUPERVISADA NIETO;2023-11-15;AVENIDA SAN MAMES Nº 69 4º H;24;24089;LEON;LEON;24007;LEÓN - MARIANO ANDRÉS;987 210126;;241443;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;gerencia@alfaem.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.60751279999999;-5.5711244;CARLOS MOUTA FERNANDEZ;42.60751279999999, -5.5711244
VIVIENDA SUPERVISADA FIDALGO;2023-10-31;AVENIDA PADRE ISLA 112;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 210126;;241230;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;viviendas@alfaem.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 4;42.606875;-5.5792457;CARLOS MOUTA FERNANDEZ;42.606875, -5.5792457
VIVIENDA HOGAR PELLETIER;2007-11-06;CALLE PEÑA PINTA 3;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 246366;;240022;NUESTRA SEÑORA DE LA CARIDAD DEL BUEN PASTOR;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.6163719;-5.5685226;M. CARMEN FERNADEZ MARTINEZ;42.6163719, -5.5685226
RESIDENCIA DE MAYORES VIRGEN DE LA GUIA;2023-06-16;CALLE CAYO JESUS FERNANDEZ ESPINO 1;24;24089;LEON;LEON;24007;LEÓN - EL EJIDO;987 276170;987 276186;240390;RESIDENCIA VIRGEN DE LA GUIA S.L.;;SOCIEDADES;info@virgendelaguia.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 90;42.6014031;-5.5610617;INMACULADA FRANCO CASTELLANOS;42.6014031, -5.5610617
VIVIENDA HOGAR JOAQUINA DE VEDRUNA;2009-05-26;AVENIDA CUBOS (LOS) 11;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;987 270467;;240060;HERMANAS CARMELITAS DE LA CARIDAD DE VEDRUNA;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.6010322;-5.566874;Mª LUZ GONZALEZ BLANCO;42.6010322, -5.566874
CENTRO DE REFERENCIA ESTATAL DE ATENCIÓN A PERSONAS EN SITUACIÓN DE DEPENDENCIA-CREDEI;2023-03-03;CALLE MOISES DE LEON 56;24;24089;LEON;LEON;24006;LEÓN - PUENTE CASTRO;628 032903;;241768;INSTITUTO DE MAYORES Y SERVICIOS SOCIALES. IMSERSO;;ADMINISTRACIÓN CENTRAL;buzon@imserso.es;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.5912838;-5.561608300000001;Fernando de la Torre Fernández;42.5912838, -5.561608300000001
CENTRO DE DÍA ASPAYM LEÓN;2023-06-20;CALLE SAN JUAN DE SAHAGUN, Nº 25;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;987 807390;;241026;FUNDACIÓN ASPAYM CASTILLA Y LEÓN;;FUNDACIÓN;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad física;OTROS: 40;;;MARÍA P. REYERO HIDALGO;
"HOGAR PARA LA SOCIALIZACION ""SANTIAGO CUATRO""";2008-05-26;CALLE ALCAZAR DE TOLEDO 47º B;24;24089;LEON;LEON;27001;LEÓN - CENTRO;923 219511;;240666;CASA ESCUELAS PIAS SANTIAGO UNO (PP ESCOLAPIOS) DE SALAMANCA;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.5974387;-5.5753103;MANUEL JESUS GARROTE FERNANDO;42.5974387, -5.5753103
HOGAR DE ACOGIDA CALASANZ PUENTE VIDA;2023-03-03;AVENIDA QUEVEDO 9;24;24089;LEON;LEON;24009;LEÓN - EL CRUCERO-LA VEGA;923 219511;;241683;CASA ESCUELAS PIAS SANTIAGO UNO (PP ESCOLAPIOS) DE SALAMANCA;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;santiagocuatro@casaecsuelasantiagouno.es;;INFANCIA (Y JUVENTUD);Vivienda;Hogar de acogida;OTROS: 9;42.6004979;-5.584722;MANUEL JESÚS GARROTE FERNANDO;42.6004979, -5.584722
CENTRO DE ATENCION INTEGRAL PARA ENFERMOS DE ALZHEIMER;2025-02-24;CALLE FOTOGRAFO PEPE GRACIA S/N;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 260796;;240853;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE LEÓN - (ALZHEIMER-LEÓN);;ASOCIACIÓN;info@alzheimerleon.org;;PERSONAS MAYORES;Centro de día;Estancias diurnas para enfermos de Alzheimer;ASISTIDOS: 90;42.5884289;-5.5634497;FLOR JUAN DIEGUEZ;42.5884289, -5.5634497
RESIDENCIA PIEDRAS BLANCAS SAN ISIDRO;2023-01-23;CALLE MAESTROS HERMANOS ALVARADO Nº 2;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;671 641872;;241460;ENTRE VIÑAS Y OLIVARES S.L;;SOCIEDADES;direccion@piedrasblancassanisidro.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 116;42.6290223;-5.598314999999999;ALEJANDRO MARTÍNEZ MATA;42.6290223, -5.598314999999999
GENESENIOR LEÓN;2026-02-06;CALLE FRANCISCO GINER DE LOS RIOS, 1;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;620 690739;620 680781830;242022;GENESENIOR LEÓN S.L.;;SOCIEDADES;aisanchez@aliadosporlaintegracion.org;;PERSONAS MAYORES;Residencia;Para asistidos;DEPENDIENTES: 166;42.6301613;-5.5997637;;42.6301613, -5.5997637
CENTRO DE DÍA BUENDÍA LA SAL;2025-04-10;CALLE COFRADIA DEL CIENTO 2;24;24089;LEON;LEON;24009;LEÓN - EL CRUCERO-LA VEGA;987 807805;;240314;CENTROS BUENDIA LEÓN S.L.;;SOCIEDADES;direccion.leon2@orpea.net;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;;;IGNACIO TEJERA MONTAÑO;
RESIDENCIA DE PERSONAS MAYORES FLOR Y FELISA;2022-05-13;CALLE IGLESIA (LA) S/NLa Iglesia s/n;24;24102;LEON;NOCEDA;24319;TORRE DEL BIERZO;987 055018;;240439;AYUNTAMIENTO DE NOCEDA DEL BIERZO;RESIDENCIA TERCERA EDAD LAS ENCINAS, S.L.;ADMINISTRACIÓN LOCAL;admon@lasencinassg.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 33;42.6934835;-6.3650066;VIRGINIA JUAN JUAN;42.6934835, -6.3650066
RESIDENCIA DE PERSONAS MAYORES SAN FROILAN;2022-08-19;CALLE MOLINOS (LOS), Nº 20;24;24105;LEON;VILECHA;24192;LEÓN II - VALVERDE DE LA VIRGEN;987 289516;;240143;RESIDENCIA SAN FROILAN S.L.;;SOCIEDADES;informacion@residenciasanfroilan.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 36;42.5458094;-5.5619331;CAROLINA MORROS SOÑER;42.5458094, -5.5619331
"CENTRO GERONTOLOGICO ""VALLE DEL DUERNA""";2025-03-07;CALLE GRANJA (LA) Nº 8;24;24108;LEON;PALACIOS DE LA VALDUERNA;24764;LA BAÑEZA;987 665600;;240124;GERIALE, S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;VÁLIDOS: 6, ASISTIDOS: 31;;;FERNANDO GARCÍA DOMINGUEZ;
UNIDAD DE ATENCIÓN SOCIAL PALACIOS DEL SIL;2022-11-07;CALLE IGLESIA (LA) S/N;24;24109;LEON;PALACIOS DEL SIL;24495;TORENO;987 487001;;241041;AYUNTAMIENTO DE PALACIOS DEL SIL;ASOCIACION PARKINSON BABIA-LACIANA;ADMINISTRACIÓN LOCAL;parkinsonbabiaylaciana@gmail.com;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.8759872;-6.433696299999999;Fernando Fernandez Astorgano;42.8759872, -6.433696299999999
CENTRO DE DÍA LAS NIEVES;2022-11-07;CALLE VEGA (LA) Nº 64;24;24110;LEON;PARAMO DEL SIL;24470;TORENO;987 425330;;240983;VALLE DEL OZA, S.L.;;SOCIEDADES;direccion@centroresidenciallasnieves.com;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;42.819326;-6.4959155;maria corral martinez;42.819326, -6.4959155
CLUB JUBILADOS, PENSIONISTAS Y DE PERSONAS MAYORES GORDON;2020-10-14;PLAZA MAYOR 1;24;24114;LEON;POLA DE GORDON (LA);24600;CUENCA DE MATALLANA;987 588250;;240040;ASOCIACION CLUB JUBILADOS, PENSIONISTAS Y DE TERCERA EDAD DE LA POLA DE GORDON;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;42.8546693;-5.6701499;;42.8546693, -5.6701499
RESIDENCIA NUESTRA SEÑORA DEL BUEN SUCESO;2026-02-17;CALLE POETA MANUEL GARCÍA BURGOS, Nº 22;24;24114;LEON;POLA DE GORDON (LA);24600;CUENCA DE MATALLANA;987 588387;;240087;ARALIA SERVICIOS SOCIOSANITARIOS S.A.;;SOCIEDADES;pola97@terra.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 151;;;IRMA CAROLINA MALDONADO OJEDA;
CENTRO DE DÍA COMPOSTILLA;2025-05-14;CALLE III AVENIDA DE COMPOSTILLA, Nº 24 A;24;24115;LEON;PONFERRADA;24404;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 412841;;240981;ASPRONA BIERZO;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 57;;;MARIA BELÉN RODRÍGUEZ SANJURJO;
VIVIENDA CEMBA 3;2025-11-14;CALLE CEMBA (LA) 9;24;24115;LEON;PONFERRADA;24401;PONFERRADA - ZONA BAJA - FLORES SIL;626 998957;626 626998957;241995;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;DISCAPACIDAD INTELECTUAL: 3;;;;
VIVIENDA CEMBA 1;2025-11-14;CALLE CEMBA (LA) 9;24;24115;LEON;PONFERRADA;24401;PONFERRADA - ZONA BAJA - FLORES SIL;626 998957;626 626998957;241993;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;DISCAPACIDAD INTELECTUAL: 1;;;;
VIVIENDA CEMBA 2;2025-11-14;CALLE CEMBA (LA) 9;24;24115;LEON;PONFERRADA;24401;PONFERRADA - ZONA BAJA - FLORES SIL;626 998957;626 626998957;241994;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;DISCAPACIDAD INTELECTUAL: 3;;;;
CENTRO DE DIA FLANDES;2025-10-14;AVENIDA TERCIO DE FLANDES Nº 24;24;24115;LEON;PONFERRADA;24004;PONFERRADA - ZONA ALTA - EL PLANTÍO;987 455228;;241817;ASPRONA BIERZO;;ASOCIACIÓN;aspronabierzo@aspronabierzo.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 20;;;MARIA BELÉN RODRÍGUEZ SANJURJO;
VIVIENDA SUPERVISADA PARQUE DEL TEMPLE;2023-11-15;CALLE PARQUE DEL TEMPLE  Nº 9 BAJO B;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA BAJA - FLORES SIL;987 427720;987 006061;240876;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.54570229999999;-6.604544199999999;CARLOS MOUTA FERNANDEZ;42.54570229999999, -6.604544199999999
PISO SUPERVISADO;2023-05-05;CALLE BADAJOZ 16- 2º C;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA BAJA - FLORES SIL;987 427720;987 77217;240681;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.5458693;-6.6140527;LAURA DE LA TORRE FERNANDEZ;42.5458693, -6.6140527
VIVIENDA SUPERVISADA MARTINEZ;2023-11-15;CALLE PARQUE DEL TEMPLE Nº 5 1º A;24;24115;LEON;PONFERRADA;24403;PONFERRADA - ZONA BAJA - FLORES SIL;987 210126;;241568;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;;ASOCIACIÓN;gerencia@alfaem.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 4;42.5455879;-6.604568100000001;CARLOS MOUTA FERNANDEZ;42.5455879, -6.604568100000001
"VIVIENDA-HOGAR ""CRUZ DE LOS ÁNGELES ""A""";2020-12-03;AVENIDA HUERTAS DEL SACRAMENTO 18-2º A-B;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 424176;987 240600;240193;FUNDACION CRUZ DE LOS ANGELES;;FUNDACIÓN;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.5541328;-6.5939953;;42.5541328, -6.5939953
"VIVIENDA HOGAR ""CRUZ DE LOS ÁNGELES ""B""";2020-12-03;AVENIDA HUERTAS DEL SACRAMENTO 18-1º A-B;24;24115;LEON;PONFERRADA;24400;PONFERRADA - ZONA CENTRO - LA PUEBLA;987 424176;987 240600;240192;FUNDACION CRUZ DE LOS ANGELES;;FUNDACIÓN;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 8;42.5541328;-6.5939953;;42.5541328, -6.5939953
